date,open,high,low,close,volume
2016-08-05,104.584,105.559,104.307,105.553,2574434
2016-08-08,105.963,106.315,105.214,105.514,2070103
2016-08-09,105.631,105.989,105.26,105.338,1864543
2016-08-10,105.611,105.917,105.462,105.54,1680097
2016-08-11,105.65,107.409,105.605,106.484,5972394
2016-08-12,106.262,106.438,105.175,105.455,1732135
2016-08-15,105.748,106.119,105.344,105.41,2023173
2016-08-16,104.908,105.442,104.635,104.641,1505394
2016-08-17,104.817,104.941,104.081,104.472,2197197
2016-08-18,104.765,105.488,104.472,105.071,2487419
2016-08-19,104.732,104.778,103.873,104.211,1917466
2016-08-22,104.185,104.557,103.619,104.185,1388992
2016-08-23,104.4,105.058,104.335,104.355,1933063
2016-08-24,104.114,104.302,103.091,103.567,2483197
2016-08-25,103.534,103.886,103.157,103.293,1753862
2016-08-26,103.456,104.472,102.785,103.091,1702030
2016-08-29,103.424,104.322,103.209,104.003,1686364
2016-08-30,104.029,104.283,103.41,103.795,1235061
2016-08-31,103.964,103.964,103.052,103.456,1582631
2016-09-01,103.091,103.938,102.948,103.886,1606333
2016-09-02,104.107,104.557,103.632,103.892,1577045
2016-09-06,104.107,104.745,103.606,104.413,2039318
2016-09-07,104.309,105.331,104.185,105.253,1952952
2016-09-08,104.544,104.973,103.378,103.534,2699381
2016-09-09,102.902,103.143,101.353,101.379,3532243
2016-09-12,101.099,103.228,100.825,103.072,2974756
2016-09-13,102.642,102.838,101.255,101.457,2476999
2016-09-14,101.385,101.496,99.8811,100.311,2629499
2016-09-15,100.474,101.796,99.764,101.359,2483061
2016-09-16,100.956,101.19,99.9333,100.174,4402433
2016-09-19,100.845,101.704,100.636,100.845,1668792
2016-09-20,101.496,101.952,100.571,100.571,1470588
2016-09-21,100.871,101.372,100.194,101.275,1685002
2016-09-22,101.678,102.375,101.379,101.652,1832939
2016-09-23,101.333,101.607,100.741,100.916,1840499
2016-09-26,100.578,100.578,99.9268,100.265,1725461
2016-09-27,100.487,102.082,100.155,102.082,2034617
2016-09-28,102.225,103.293,101.73,103.072,2254480
2016-09-29,103.293,107.441,102.531,102.955,2298617
2016-09-30,103.469,104.081,102.922,103.437,2449890
2016-10-03,102.922,103.124,102.245,102.629,1517381
2016-10-04,102.668,103.228,101.464,101.88,1964395
2016-10-05,102.277,102.772,102.05,102.284,1147333
2016-10-06,102.128,102.512,101.509,102.154,1328236
2016-10-07,102.323,102.688,100.838,101.366,1819862
2016-10-10,102.043,103.202,102.01,102.245,1690043
2016-10-11,102.056,102.199,100.207,100.793,1976109
2016-10-12,100.91,100.91,99.6793,100.467,2018814
2016-10-13,100.083,100.422,99.1519,100.096,1981966
2016-10-14,100.584,101.275,100.337,100.571,2968420
2016-10-17,100.571,101.509,100.5,100.78,4012021
2016-10-18,97.6868,98.3249,96.2347,98.1426,8698206
2016-10-19,98.5007,99.2691,98.2142,98.4942,3155521
2016-10-20,98.5073,99.5621,98.3379,98.6635,2740180
2016-10-21,98.0514,98.4226,97.3872,97.4328,3006562
2016-10-24,97.9343,98.6635,97.9343,98.0449,1816320
2016-10-25,98.0448,98.429,97.563,98.2467,1803242
2016-10-26,98.1361,99.5881,97.843,98.8524,1915081
2016-10-27,99.51,100.317,98.9891,99.8551,2880625
2016-10-28,100.311,100.565,99.0933,99.3733,2489123
2016-10-31,99.4709,100.493,99.4709,100.076,2420125
2016-11-01,99.9528,100.22,98.8068,99.4905,2174040
2016-11-02,99.2886,99.8551,98.7612,98.9435,2094009
2016-11-03,99.3082,100.109,98.8458,99.217,1960784
2016-11-04,99.2366,100.044,98.8915,99.2561,1682618
2016-11-07,100.272,101.652,100.174,101.398,2591562
2016-11-08,101.556,102.456,100.571,101.957,2695486
2016-11-09,100.505,102.213,99.2169,101.72,3713911
2016-11-10,103.593,105.893,103.547,105.275,5303000
2016-11-11,105.111,106.011,104.69,105.965,3056108
2016-11-14,105.952,106.353,103.54,103.954,3571507
2016-11-15,104.092,104.572,103.521,104.257,2389710
2016-11-16,104.119,104.835,103.836,104.664,1548329
2016-11-17,104.618,105.085,104.375,104.999,1554102
2016-11-18,104.999,105.604,104.612,105.387,2049227
2016-11-21,105.584,107.102,105.374,106.951,3187037
2016-11-22,107.102,107.102,106.412,106.885,1904346
2016-11-23,106.405,106.694,106.024,106.432,1548260
2016-11-25,106.333,107.227,106.333,107.194,1103308
2016-11-28,107.233,108.192,106.905,108.1,3058030
2016-11-29,107.759,108.028,107.121,107.45,2163727
2016-11-30,107.332,107.627,106.583,106.589,3022567
2016-12-01,106.412,106.576,104.013,105.012,3186072
2016-12-02,104.473,105.321,104.086,105.144,1883796
2016-12-05,105.689,105.886,104.861,105.025,2369161
2016-12-06,105.216,105.65,104.427,105.36,1964964
2016-12-07,105.525,108.534,105.387,108.278,3048202
2016-12-08,108.33,109.073,107.903,108.652,2244966
2016-12-09,108.534,109.546,108.153,109.414,2162833
2016-12-12,109.546,109.592,108.462,108.744,2331497
2016-12-13,108.863,111.668,108.863,110.578,4077215
2016-12-14,110.63,111.629,110.026,110.722,2834523
2016-12-15,110.394,111.603,110.243,110.4,2328954
2016-12-16,111.024,111.116,109.112,109.553,4893924
2016-12-19,109.618,109.901,109.073,109.52,2031562
2016-12-20,110.052,110.551,109.369,110.124,1494583
2016-12-21,109.237,110.348,108.58,109.947,2457545
2016-12-22,109.966,110.538,109.454,109.769,1926201
2016-12-23,109.73,110.052,109.369,109.539,1169219
2016-12-27,109.717,110.374,109.632,109.822,960489
2016-12-28,109.921,110.216,109.073,109.198,1207914
